證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,8100057,7600,939263431,115.65,116.25,115.5,116.25,0.7,116.25,42,116.3,36,0.0
0051,37774,198,1971887,52.5,52.5,52.0,52.1,0.5,52.05,2,52.25,15,0.0
0052,256854,346,25069362,97.5,97.9,97.2,97.75,0.4,97.75,42,97.85,4,0.0
0053,3430,12,193222,56.2,56.4,56.2,56.4,0.75,56.4,26,56.95,11,0.0
0055,159115,370,3568348,22.59,22.59,22.38,22.47,0.12,22.46,53,22.48,1,0.0
0056,19272355,8766,546711764,28.39,28.45,28.24,28.44,0.01,28.44,4,28.45,259,0.0
0057,21910,860,1797623,82.25,82.3,82.05,82.05,0.1,82.5,20,82.8,20,0.0
0061,62219,780,1214866,19.64,19.65,19.48,19.55,0.0,19.55,29,19.58,5,0.0
006203,3312,992,184489,56.0,56.0,56.0,56.0,0.05,55.95,30,56.05,10,0.0
006204,26261,881,1988634,76.0,76.0,75.45,75.95,0.35,75.95,9,76.2,10,0.0
006205,290437,119,9416298,32.65,32.7,32.3,32.46,0.06,32.46,1,32.47,2,0.0
006206,28782,963,890744,30.98,31.13,30.93,30.94,0.04,30.95,57,31.1,2,0.0
006207,65940,927,1700729,25.95,26.0,25.66,25.79,0.0,25.79,30,25.83,50,0.0
006208,2222829,2484,148358872,66.6,66.95,66.45,66.9,0.3,66.9,136,66.95,8,0.0
00625K,0,0,0,,,,,0.0,7.33,5,7.36,2,0.0
00631L,5223300,1935,526952327,100.8,101.5,100.2,101.0,0.65,101.0,229,101.05,1,0.0
00632R,187568011,7276,1106937412,5.91,5.92,5.88,5.9,0.01,5.9,2008,5.91,11889,0.0
00633L,19769995,2112,832156553,42.34,42.99,41.72,41.91,0.46,41.91,140,41.93,1,0.0
00634R,410200,82,1810696,4.39,4.44,4.38,4.42,0.02,4.41,707,4.42,221,0.0
00635U,491967,118,11427756,23.13,23.29,23.11,23.28,0.06,23.27,15,23.28,198,0.0
00636,210020,942,4665721,22.24,22.41,22.1,22.15,0.09,22.15,127,22.18,10,0.0
00636K,200,2,1474,7.37,7.37,7.37,7.37,0.01,7.35,11,7.41,11,0.0
00637L,73222345,9614,1222154435,16.69,17.01,16.48,16.57,0.2,16.57,1089,16.58,20,0.0
00638R,854001,65,8000129,9.35,9.42,9.28,9.42,0.07,9.39,30,9.4,408,0.0
00639,209131,61,2929425,14.14,14.14,13.94,13.97,0.04,13.99,152,14.0,3,0.0
00640L,86000,30,2379370,27.7,27.73,27.6,27.73,0.14,27.73,3,27.74,10,0.0
00641R,286000,40,2867660,10.03,10.04,10.01,10.02,0.03,10.02,8,10.03,107,0.0
00642U,2013568,503,38988626,19.25,19.43,19.25,19.35,0.17,19.35,10,19.36,45,0.0
00643,165166,43,2758156,16.7,16.84,16.62,16.7,0.05,16.7,19,16.71,15,0.0
00643K,0,0,0,,,,,0.0,3.78,2,3.84,1,0.0
00645,40975,18,1047492,25.58,25.58,25.54,25.57,0.03,25.57,33,25.58,5,0.0
00646,273242,356,10345264,37.85,37.96,37.79,37.92,0.05,37.92,3,37.94,5,0.0
00647L,248508,59,14465714,58.05,58.5,58.05,58.5,0.1,58.45,20,58.5,89,0.0
00648R,2661049,147,19250551,7.25,7.25,7.22,7.22,0.01,7.21,1106,7.22,219,0.0
00650L,2811082,481,40889946,14.46,14.7,14.38,14.59,0.24,14.58,2,14.59,53,0.0
00651R,515000,48,4539820,8.83,8.86,8.78,8.82,0.1,8.81,50,8.82,4,0.0
00652,171445,1048,4977073,29.0,29.11,28.86,28.89,0.01,28.88,2,28.9,2,0.0
00653L,469735,144,20163106,42.7,43.1,42.49,42.58,0.04,42.54,50,42.58,6,0.0
00654R,554000,120,4573710,8.28,8.3,8.23,8.3,0.04,8.3,46,8.31,30,0.0
00655L,1814699,672,54919778,30.48,30.95,29.95,30.17,0.3,30.17,137,30.18,1,0.0
00656R,132000,30,1106920,8.32,8.42,8.3,8.39,0.04,8.38,252,8.39,1,0.0
00657,44182,8,1443882,32.67,32.74,32.67,32.71,0.35,32.66,10,32.73,30,0.0
